---config@码表分类=主码-5
---config@码表别名=系統詞庫
---config@允许编辑=是

#基础词库
愛護	ah#序30000
寬餘	kryu#序30000
肥水	fwuv#序30000
沸水	fwuv#序30000
百折不回	bvbh#序30000
一心一德	yxyd#序30000
譯叢	yics#序30000
風口浪尖	fklj#序30000
損益	syyi#序30000
為伍	wwwu#序30000
簡便易行	jbyx#序30000
雲行雨施	yxyu#序30000
言行一致	yxyv#序30000
高粱	gcll#序30000
醫學院	yxyr#序30000
乾脆利落	gcll#序30000
高利	gcli#序30000
劃出	hxiu#序30000
話茬	hxia#序30000
秋冬	qqds#序30000
壙埌	kllh#序30000
你我	niwo#序30000
外延	wdyj#序30000
崑山片玉	kupy#序30000
蠟黃	lahl#序30000
藏汙納垢	cwng#序30000
千秋大業	qqdy#序30000
橫行霸道	hxbd#序30000
大模大樣	dmdy#序30000
代培	ddpw#序30000
九月	jqyt#序30000
就說	jqyt#序30000
我武惟揚	wwwy#序30000
八卦掌	bgvh#序30000
電大	dmda#序30000
就已	jqyi#序30000
見錢眼開	jqyk#序30000
譁變	hxbm#序30000
一鳴驚人	ymjr#序30000
點點	dmdm#序30000
話別	hxbp#序30000
統配	tspw#序30000
烈日炎炎	lryy#序30000
良藥苦口	lykk#序30000
嘉峪關	jygr#序30000
螳臂擋車	tbdi#序30000
回馬槍	hmql#序30000
阿爾卡特	aekt#序30000
螳臂當車	tbdi#序30000
印鑑	ybjm#序30000
舉手之勞	juvl#序30000
勇猛精進	ymjj#序30000
讀後感	dhgj#序30000
為名	wwmk#序30000
狂草	klcc#序30000
馬背	mabw#序30000
母雞	muji#序30000
謀略	mzlt#序30000
港務	ghwu#序30000
花飛蝶舞	hfdw#序30000
牟利	mzli#序30000
變幻莫測	bhmc#序30000
瑪雅	maya#序30000
圓木警枕	ymjv#序30000
繭絲	jmsi#序30000
碼元	mayr#序30000
縮編	sobm#序30000
政企不分	vqbf#序30000
來說	lduo#序30000
筆力	bili#序30000
摘自	vdz#序30000
薜荔	bili#序30000
打退堂鼓	dttg#序30000
艱澀	jmse#序30000
堅持不懈	jibx#序30000
流水無情	luwq#序30000
壁爐	bilu#序30000
詞牌	cipd#序30000
墨寶	mobc#序30000
日立	rili#序30000
四平八穩	spbw#序30000
增訂	zgdk#序30000
合約	heyt#序30000
抓起	vxqi#序30000
操作系統	czxt#序30000
除草	iucc#序30000
很大	hfda#序30000
從簡	csjm#序30000
冷語冰人	lybr#序30000
司務長	swvh#序30000
香油	xlyz#序30000
橡皮艇	xptk#序30000
令人注目	lrvm#序30000
較長	jnih#序30000
低年級	dnji#序30000
倫巴	lyba#序30000
焊條	hjtn#序30000
北風呼嘯	bfhx#序30000
狼狽為奸	lbwj#序30000
相宜	xlyi#序30000
襄陽	xlyh#序30000
別風淮雨	bfhy#序30000
不足為據	bzwj#序30000
響音	xlyb#序30000
交出	jniu#序30000
修理業	xlye#序30000
果園飄香	gypx#序30000
暴發戶	bfhu#序30000
下意識	xyu#序30000
祖師	zuui#序30000
梵蒂岡	fdgh#序30000
食言而肥	uyef#序30000
財報	cdbc#序30000
科大	keda#序30000
豬瘟	vuwf#序30000
中方	vsfh#序30000
柯達	keda#序30000
高舉	gcju#序30000
牴牾	diwu#序30000
線上	xmuh#序30000
中法	vsfa#序30000
現身	xmuf#序30000
淨重	jkvs#序30000
必爭之地	bvvd#序30000
先聲	xmug#序30000
先手	xmuz#序30000
精壯	jkvl#序30000
朝不保夕	vbbx#序30000
地動山搖	dduy#序30000
堅苦卓絕	jkvj#序30000
這種	vevs#序30000
折衷	vevs#序30000
撇下	ppx#序30000
網遊	whyz#序30000
警長	jkvh#序30000
做活	zoho#序30000
滿堂紅	mth#序30000
汪延	whyj#序30000
望洋	whyh#序30000
網易	whyi#序30000
嘲哳	vcva#序30000
豐衣足食	fyzu#序30000
戒備森嚴	jbsy#序30000
甚囂塵上	uxiu#序30000
東逃西散	dtxs#序30000
電信業	dxye#序30000
農家肥	njfw#序30000
妙手回春	muhi#序30000
麻疹	mavf#序30000
無邊無際	wbwj#序30000
圓寂	yrji#序30000
箢箕	yrji#序30000
害蟲	hdis#序30000
找到	vcdc#序30000
援救	yrjq#序30000
累進	lwjb#序30000
原價	yrjx#序30000
雅虎	yahu#序30000
虐囚	ntqq#序30000
褒善貶惡	bube#序30000
下輩	xxbw#序30000
換成	hrig#序30000
換乘	hrig#序30000
嗓門	shm#序30000
信心百倍	xxbb#序30000
雞尾酒	jwj#序30000
下襬	xxbd#序30000
代名詞	dmci#序30000
地動儀	ddyi#序30000
朝秦暮楚	vqmi#序30000
多多益善	ddyu#序30000
鶬鶊	chgg#序30000
分公司	fgsi#序30000
泥漿	nijl#序30000
統計學	tjxt#序30000
蘅蕪	hgwu#序30000
甜菜	tmcd#序30000
啟運	qiyy#序30000
起運	qiyy#序30000
鳳頭豬肚	ftvd#序30000
旅遊者	lyve#序30000
拙劣	volp#序30000
茶會	iahv#序30000
歲寒松柏	shsb#序30000
叉車	iaie#序30000
連綿不斷	lmbd#序30000
茶花	iahx#序30000
利令智昏	lyvh#序30000
冷若冰霜	lrbu#序30000
燎原之勢	lyvu#序30000
濫用職權	lyvq#序30000
黎民百姓	lmbx#序30000
戰法	vjfa#序30000
介於	jpyu#序30000
安息	anxi#序30000
香檳	xlbb#序30000
名花	mkhx#序30000
尿道	nndc#序30000
不值一提	bvyt#序30000
向北	xlbw#序30000
英報	ykbc#序30000
姻婭	ybya#序30000
事無不可對人言	umby#序30000
自費生	zfug#序30000
膠布	jnbu#序30000
升堂入室	utru#序30000
礁堡	jnbc#序30000
解壓	jpya#序30000
交班	jnbj#序30000
懇談會	ktkk#序30000
珍禽異獸	vqyu#序30000
炒麵	icmm#序30000
貧民區	pmq#序30000
恰恰相反	qqxf#序30000
丙寅	bkyb#序30000
鳥飛兔走	nftz#序30000
鳥語花香	nyhx#序30000
夜航	yehh#序30000
斬盡殺絕	vjuj#序30000
聯會	lmhv#序30000
渡江	dujl#序30000
大事記	duji#序30000
妒忌	duji#序30000
冉冉	rjrj#序30000
懊悔	aoh#序30000
馬放南山	mfnu#序30000
獨具	duju#序30000
苒苒	rjrj#序30000
保管員	bgyr#序30000
數以百計	uybj#序30000
十有八九	uybj#序30000
揚子鱷	yzee#序30000
春雷滾滾	ilgg#序30000
麥克風	mkf#序30000
名貴	mkg#序30000
增常	zgih#序30000
增持	zgii#序30000
國難	gonj#序30000
蔚為大觀	wwdg#序30000
隨隨便便	ssbb#序30000
萬囑咐	wvfu#序30000
無政府	wvfu#序30000
星期日	xqri#序30000
桄榔	gllh#序30000
興旺發達	xwfd#序30000
格陵蘭	gllj#序30000
聽聽	tktk#序30000
長女	vhnv#序30000
客觀性	kgxk#序30000
憋氣	bpqi#序30000
寒氣	hjqi#序30000
彈盡糧絕	djlj#序30000
攻擊機	gjji#序30000
當機立斷	djld#序30000
贛江	gjjl#序30000
桿菌	gjjy#序30000
尚書	uhuu#序30000
上稅	uhuv#序30000
開心見誠	kxji#序30000
商社	uhue#序30000
光標	glbn#序30000
賞識	uhui#序30000
紅紅火火	hhhh#序30000
柏油	bdyz#序30000
步調一致	bdyv#序30000
正方形	vfxk#序30000
白蟻	bdyi#序30000
豐饒	fgrc#序30000
陣線	vfxm#序30000
放眼世界	fyuj#序30000
黑乎乎	hhhu#序30000
紅男綠女	hnln#序30000
奏摺	zzve#序30000
不得要領	bdyl#序30000
留成	lqig#序30000
流出	lqiu#序30000
六畜	lqiu#序30000
曙色	uuse#序30000
解饞	jpij#序30000
不辭辛苦	bcxk#序30000
無可置疑	wkvy#序30000
無可指責	wkvz#序30000
恩德	end#序30000
票額	pnee#序30000
暴行	bcxk#序30000
禮炮	lipc#序30000
證章	vgvh#序30000
物腐蟲生	wfiu#序30000
李鵬	lipg#序30000
不辭辛勞	bcxl#序30000
雜音	zay#序30000
雜談	zat#序30000
西班牙	xby#序30000
由淺入深	yqru#序30000
出廠價	iijx#序30000
一專多能	yvdn#序30000
膀胱	phgl#序30000
支行	vihh#序30000
之行	vihh#序30000
破門	pomf#序30000
緣木求魚	ymqy#序30000
拐彎抹角	gwmj#序30000
包修	bcxq#序30000
國賓	gobb#序30000
持家	iijx#序30000
意見書	yjuu#序30000
淵藪	yrsz#序30000
藥學	ycxt#序30000
新版	xbb#序30000
粵菜	ytc#序30000
歪門邪道	wmxd#序30000
本原	bfyr#序30000
日薄西山	rbxu#序30000
耳麥	ermd#序30000
數以千計	uyqj#序30000
馳驅	iiqu#序30000
理工科	lgke#序30000
欸乃	aind#序30000
負債累累	fvll#序30000
金文	jbwf#序30000
天資	tmzi#序30000
冷庫	lgku#序30000
唾面自乾	tmzg#序30000
看官	kjgr#序30000
看管	kjgr#序30000
之嫌	vixm#序30000
天災	tmzd#序30000
常事	ihui#序30000
長衫	ihuj#序30000
每年	mwnm#序30000
美男	mwnj#序30000
常熟	ihuu#序30000
沒能	mwng#序30000
可見光	kjgl#序30000
之星	vixk#序30000
不可多得	bkdd#序30000
之行	vixk#序30000
冰刀	bkdc#序30000
冰島	bkdc#序30000
病倒	bkdc#序30000
各執一詞	gvyc#序30000
周詳	vzxl#序30000
肺氣腫	fqvs#序30000
脣槍舌劍	iquj#序30000
豈止	qivi#序30000
前車之鑑	qivj#序30000
頑固不化	wgbh#序30000
練出	lmiu#序30000
耳濡目染	ermr#序30000
凸起	tuqi#序30000
五穀不分	wgbf#序30000
黃褐色	hhse#序30000
約會	yth#序30000
出出進進	iijj#序30000
聘期	pbqi#序30000
英特爾	yte#序30000
只許	vixu#序30000
文質彬彬	wvbb#序30000
期中	qivs#序30000
拼搶	pbql#序30000
只需	vixu#序30000
鍵入	jmru#序30000
魑魅	iimw#序30000
直選	vixr#序30000
不慌不忙	bhbm#序30000
幫幫	bhbh#序30000
尺碼	iima#序30000
興味盎然	xwar#序30000
紙屑	vixp#序30000
出其不意	iqby#序30000
避實擊虛	bujx#序30000
避實就虛	bujx#序30000
送氣	ssqi#序30000
廣播員	gbyr#序30000
百鳥鳴春	bnmi#序30000
博施濟眾	bujv#序30000
丟掉	dqdn#序30000
冒進	mcjb#序30000
不見	bujm#序30000
丹青	djqk#序30000
篩糠	udkh#序30000
單親	djqb#序30000
彈琴	djqb#序30000
本世紀	buji#序30000
靜靜樂道	jjld#序30000
烏江	wujl#序30000
拔山舉鼎	bujd#序30000
一葉障目	yyvm#序30000
李逵	likv#序30000
聰明才智	cmcv#序30000
民調	mbdn#序30000
苦思冥想	ksmx#序30000
謖謖	susu#序30000
固沙林	gulb#序30000
孔廟	ksmn#序30000
立足之地	lzvd#序30000
報務	bcwu#序30000
蝤蠐	qqqi#序30000
草率	ccu#序30000
代用品	dypb#序30000
草屋	ccw#序30000
草簽	ccq#序30000
求求	qqqq#序30000
求全	qqqr#序30000
草擬	ccn#序30000
抵押品	dypb#序30000
哺乳動物	brdw#序30000
果實累累	gull#序30000
為例	wwli#序30000
短兵相接	dbxj#序30000
未了	wwln#序30000
威廉	wwlm#序30000
迎賓曲	ybqu#序30000
齗齗	ybkf#序30000
列島	lpdc#序30000
圍攏	wwls#序30000
坎坷不平	kkbp#序30000
骨肉相連	grxl#序30000
線圈	xmqr#序30000
快板	kkbj#序30000
油層	yzcg#序30000
百花爭豔	bhvy#序30000
區段	qudr#序30000
蘇州	suvz#序30000
體協	tixp#序30000
建房	jmfh#序30000
被害者	bhve#序30000
逢人說項	frux#序30000
甘拜下風	gbxf#序30000
減法	jmfa#序30000
體形	tixk#序30000
高深莫測	gumc#序30000
老黃牛	lhnq#序30000
深思熟慮	usul#序30000
汩沒	gumo#序30000
汩沒	gumw#序30000
聊城	lnig#序30000
炮聲	pcug#序30000
同方	tsfh#序30000
笨鳥先飛	bnxf#序30000
待價而沽	djeg#序30000
拋售	pcuz#序30000
銀團	ybtr#序30000
很高	hfgc#序30000
引退	ybtv#序30000
山崖	ujya#序30000
贍養	ujyh#序30000
授銜	uzxm#序30000
受降	uzxl#序30000
劣種	lpvs#序30000
美人	mwrf#序30000
氣動	qids#序30000
我一語	wyyu#序30000
依依不捨	yybu#序30000
合同期	gtqi#序30000
農學	nsxt#序30000
農協	nsxp#序30000
一言不發	yybf#序30000
硅鋼片	ggpm#序30000
炮艇	pctk#序30000
兔死狗烹	tsgp#序30000
起動	qids#序30000
每日	mwri#序30000
被服	bwfu#序30000
防毒	fhdu#序30000
模模糊糊	mmhh#序30000
紡錠	fhdk#序30000
放蕩	fhdh#序30000
出發地	ifdi#序30000
痛感	tsgj#序30000
備份	bwff#序30000
輩分	bwff#序30000
託福	tofu#序30000
混入	hyru#序30000
面無人色	mwrs#序30000
泡湯	pcth#序30000
保密性	bmxk#序30000
忍痛割愛	rtga#序30000
地空	deks#序30000
瓊瑤	qsyc#序30000
的卡	deka#序30000
不同流俗	btls#序30000
秋色宜人	qsyr#序30000
拜拜	bdbd#序30000
便攜	bmxp#序30000
首頁	uzye#序30000
白布	bdbu#序30000
收音	uzyb#序30000
罪有應得	zyyd#序30000
遵義	zyyi#序30000
敗北	bdbw#序30000
脫髮	tofa#序30000
藍調	ljdn#序30000
手搖	uzyc#序30000
駝峰	tofg#序30000
懶惰	ljdo#序30000
臨界點	ljdm#序30000
婉言謝絕	wyxj#序30000
自銷	zixn#序30000
自修	zixq#序30000
自序	zixu#序30000
首映	uzyk#序30000
字序	zixu#序30000
熱身	reu#序30000
臨危不懼	lwbj#序30000
心碎	xbsv#序30000
平平安安	ppaa#序30000
助燃	vurj#序30000
始作俑者	uzyv#序30000
僧人	sgrf#序30000
千載難逢	qznf#序30000
守約	uzyt#序30000
吃苦頭	iktz#序30000
旭日東昇	xrdu#序30000
售予	uzyu#序30000
心如刀絞	xrdj#序30000
軒然大波	xrdb#序30000
心如刀割	xrdg#序30000
望洋興嘆	wyxt#序30000
盧梭	luso#序30000
此地無銀	cdmy#序30000
闖入	ilru#序30000
杜馬	duma#序30000
天高雲淡	tgyd#序30000
華燈初上	hdiu#序30000
適配	uipw#序30000
二等	erdg#序30000
迴游	hvyz#序30000
冒著	mcve#序30000
行政院	hvyr#序30000
壓價	yajx#序30000
食譜	uipu#序30000
燙金	thjb#序30000
慧眼	hvyj#序30000
鐵合金	thjb#序30000
會演	hvyj#序30000
押解	yajp#序30000
糖漿	thjl#序30000
浪濤	lhtc#序30000
累活	lwho#序30000
惡衣惡食	wywy#序30000
廣開言路	gkyl#序30000
功虧一簣	gkyk#序30000
攻苦食淡	gkyd#序30000
硬漢子	yhzi#序30000
多名	domk#序30000
窮鄉僻壤	qxpr#序30000
歐共體	ogt#序30000
殺敵致果	udvg#序30000
米芾	mifu#序30000
這一來	vyld#序30000
唱反調	ifdn#序30000
財年	cdnm#序30000
放虎歸山	fhgu#序30000
商旅	uhlv#序30000
冷嘲熱諷	lirf#序30000
真愛	vfai#序30000
各取所需	gqsx#序30000
曲阜	qufu#序30000
金門	jbmf#序30000
不忘溝壑	bwgh#序30000
和風細雨	hfxy#序30000
背光	bwgl#序30000
大有人在	dyrz#序30000
提督	tidu#序30000
識破	uipo#序30000
方格	fhge#序30000
鐵心	tpxb#序30000
蒼髯如戟	crrj#序30000
吳江	wujl#序30000
沾滿	vjmj#序30000
分文不取	fwbq#序30000
駛入	uiru#序30000
將心比心	jxbx#序30000
天長地久	tidj#序30000
搶手	qluz#序30000
彌散	misj#序30000
順流而下	ulex#序30000
榮譽感	rygj#序30000
簽收	qmuz#序30000
牽手	qmuz#序30000
內陸國	nlgo#序30000
伏龍鳳雛	flfi#序30000
強勢	qlui#序30000
淺水	qmuv#序30000
持重	iivs#序30000
付印	fuyb#序30000
光電	gldm#序30000
扶搖	fuyc#序30000
廣電	gldm#序30000
俯仰	fuyh#序30000
金風送爽	jfsu#序30000
扶養	fuyh#序30000
婦嬰	fuyk#序30000
萬籟俱寂	wljj#序30000
恩人	enrf#序30000
附庸	fuys#序30000
後備軍	hbjy#序30000
磁盤	cipj#序30000
出口傷人	ikur#序30000
附有	fuyz#序30000
錚錚鐵骨	vvtg#序30000
早產	zcij#序30000
省府	ugfu#序30000
成都市	idu#序30000
紫紅色	zhud#序30000
洞庭湖	dth#序30000
陋俗	lzsu#序30000
重婚	ishy#序30000
名垂青史	miqu#序30000
我校	wojn#序30000
天遂人願	tsry#序30000
坐以待旦	zydd#序30000
種類繁多	vlfd#序30000
哈密	hami#序30000
隨地	svdi#序30000
代碼	ddma#序30000
同日	tsri#序30000
很難	hfnj#序30000
美工	mwgs#序30000
每股	mwgu#序30000
排灌	pdgr#序30000
消暑	xnuu#序30000
雙規	ulgv#序30000
小數	xnuu#序30000
農諺	nsyj#序30000
團旗	trqi#序30000
安徒生	atug#序30000
小生	xnug#序30000
農藝	nsyi#序30000
小商	xnuh#序30000
蕭山	xnuj#序30000
鮮嫩水靈	xnul#序30000
銷鑠	xnuo#序30000
配股	pwgu#序30000
梗塞	ggse#序30000
男嬰	njyk#序30000
南陽	njyh#序30000
好象	hcxl#序30000
飄飄欲仙	ppyx#序30000
難友	njyz#序30000
男友	njyz#序30000
蛤蜊	geli#序30000
票號	pnhc#序30000
前科	qmke#序30000
臺前	tdqm#序30000
與會者	yhv#序30000
貪大求全	tdqq#序30000
新增	xbzg#序30000
條分縷析	tflx#序30000
飛行器	fxqi#序30000
刺傷	ciuh#序30000
走進	zzj#序30000
暗無天日	awtr#序30000
雙槓	ulgh#序30000
偓佺	woqr#序30000
穿過	irgo#序30000
不無遺憾	bmyh#序30000
結結實實	jjuu#序30000
諄諄告誡	vvgj#序30000
久經沙場	jjui#序30000
蔣介石	jjui#序30000
手無縛雞之力	uwfl#序30000
買入	mdru#序30000
鄂爾多斯	eeds#序30000
功成名遂	gims#序30000
惡毒	eedu#序30000
深重	ufvs#序30000
撥號	boh#序30000
變壓	bmya#序30000
草木知威	cmvw#序30000
圖象	tuxl#序30000
身著	ufve#序30000
書法展	ufvj#序30000
鐵石心腸	tuxi#序30000
突襲	tuxi#序30000
滿面春風	mmif#序30000
身著	ufvo#序30000
半邊天	bbtm#序30000
水師	uvui#序30000
山重水複	uvuf#序30000
水深	uvuf#序30000
良友	llyz#序30000
臍帶	qidd#序30000
金蠶脫殼	jctq#序30000
七大	qidd#序30000
真知灼見	vvvj#序30000
孤寡老人	gglr#序30000
準時	vyu#序30000
聯手	lmuz#序30000
共享	gsx#序30000
重要性	vyx#序30000
桔槔	jpgc#序30000
桔梗	jpgg#序30000
附件	fujm#序30000
海量	hdll#序30000
滕州	tgvz#序30000
核動力	hdli#序30000
急流勇退	jlyt#序30000
雙喜	ulxi#序30000
上漏下溼	ulxu#序30000
海倫	hdly#序30000
錯事	coui#序30000
米芾	mifw#序30000
解構	jpgz#序30000
洪都拉斯	hdls#序30000
說完	uowj#序30000
荊釵布裙	jibq#序30000
疾步	jibu#序30000
慘敗	cjb#序30000
堅持不渝	jiby#序30000
用武	yswu#序30000
自養	ziyh#序30000
家常便飯	jibf#序30000
長長	vhih#序30000
積弊	jibi#序30000
急病	jibk#序30000
羈絆	jibj#序30000
既便	jibm#序30000
慘重	cjv#序30000
自營	ziyk#序30000
名山	mkuj#序30000
斗車	dzie#序30000
伴音	bjyb#序30000
自用	ziys#序30000
鐵中錚錚	tvvv#序30000
陳醋	ifcu#序30000
秀外慧中	xwhv#序30000
害人不淺	hrbq#序30000
知之為知之	vvwv#序30000
和記	heji#序30000
多則	doze#序30000
相對論	xdly#序30000
漏氣	lzqi#序30000
萬人空巷	wrkx#序30000
方方正正	ffvv#序30000
當政	dhvg#序30000
音容	ybrs#序30000
拆散	ids#序30000
春光明媚	igmm#序30000
印染	ybrj#序30000
翌日	yiri#序30000
引人	ybrf#序30000
拆開	idk#序30000
談到	tjdc#序30000
一表人才	ybrc#序30000
承蒙	igmg#序30000
抗日戰爭	krvv#序30000
拖人下水	trxu#序30000
一相情願	yxqy#序30000
嘲哳	icva#序30000
曲軸	quvz#序30000
優先權	yxqr#序30000
一笑千金	yxqj#序30000
超車	icie#序30000
擋住	dhvu#序30000
劃清	hxqk#序30000
花旗	hxqi#序30000
平平常常	ppii#序30000
碰碰車	ppie#序30000
明槍暗箭	mqaj#序30000
失修	uixq#序30000
出神入化	iurh#序30000
怊悵	icih#序30000
會會	kkkk#序30000
擱淺	geqm#序30000
不祥之兆	bxvv#序30000
數典忘祖	udwz#序30000
亨利	hgli#序30000
苦活	kuho#序30000
羞辱	xqru#序30000
卑微	bwww#序30000
四世同堂	sutt#序30000
苦海	kuhd#序30000
刻劃	kehx#序30000
紋絲不動	wsbd#序30000
殘垣斷壁	cydb#序30000
漫漫長夜	mmiy#序30000
疏遠	uuyr#序30000
薯蕷	uuyu#序30000
鞭辟入裡	bprl#序30000
封官許願	fgxy#序30000
拆遷	idqm#序30000
密不可分	mbkf#序30000
坐言起行	zyqx#序30000
自圓其說閒言碎語	zyqy#序30000
目不窺園	mbky#序30000
樹蔭	uuyb#序30000
老辦法	lbfa#序30000
臨汾	lbff#序30000
航空港	hkgh#序30000
俗套	sutc#序30000
偏旁	pmph#序30000
鼠疫	uuyi#序30000
數億	uuyi#序30000
輸氧	uuyh#序30000
輸贏	uuyk#序30000
書香門第	uxmd#序30000
拓片	tapm#序30000
競購	jkgz#序30000
束身自好	uuzh#序30000
垓埏	gduj#序30000
臺積電	tjdm#序30000
公報私仇	gbsi#序30000
經管	jkgr#序30000
前途無量	qtwl#序30000
灰飛煙滅	hfym#序30000
水電局	udju#序30000
和記	huji#序30000
拉脫維亞	ltwy#序30000
圓明園	ymyr#序30000
對此	dvc#序30000
龍文	lswf#序30000
胡椒	hujn#序30000
沾染	vjrj#序30000
吞雲吐霧	tytw#序30000
聲東擊西	udjx#序30000
開刀	kddc#序30000
掠奪性	ldxk#序30000
灘地	tjdi#序30000
無所不有	wsby#序30000
唯心主義	wxvy#序30000
屯田	tytm#序30000
顢頇	mjhj#序30000
統一體	tyti#序30000
行必果	xbgo#序30000
瞌睡	keuv#序30000
靠岸	kca#序30000
天年	tmn#序30000
考勤	kcq#序30000
考入	kcr#序30000
新股	xbgu#序30000
寒暑假	hujx#序30000
戰鼓	vjgu#序30000
瞻顧	vjgu#序30000
酒泉	jqqr#序30000
捐棄前嫌	jqqx#序30000
大渡河	ddhe#序30000
沾光	vjgl#序30000
顛倒黑白	ddhb#序30000
戰果	vjgo#序30000
舊情	jqqk#序30000
橫衝直撞	hivv#序30000
深長	ufih#序30000
伸長	ufih#序30000
身長	ufih#序30000
申斥	ufii#序30000
名古屋	mgwu#序30000
伸出	ufiu#序30000
灰白色	hbud#序30000
相勸	xlqr#序30000
天網恢恢疏而不漏	twhl#序30000
鞋帽	xpmc#序30000
行宮	xkgs#序30000
按兵不動	abbd#序30000
著力點	vldm#序30000
通吃	tsii#序30000
痛斥	tsii#序30000
想起	xlqi#序30000
只不過	vbg#序30000
金陵	jblk#序30000
紅紅	hshs#序30000
調入	dnru#序30000
渾俗和光	hshg#序30000
紅河	hshe#序30000
鴻海	hshd#序30000
通稱	tsig#序30000
同城	tsig#序30000
財季	cdji#序30000
菜窖	cdjn#序30000
彩卷	cdjr#序30000
同船	tsir#序30000
採掘	cdjt#序30000
湧浪	yslh#序30000
紅白事	hbui#序30000
紅寶石	hbui#序30000
伊斯蘭	yslj#序30000
黃庭堅	htjm#序30000
蠅頭小利	ytxl#序30000
花天酒地	htjd#序30000
花團錦簇	htjc#序30000
左右逢源	zyfy#序30000
轉戰南北	vvnb#序30000
達卡	daka#序30000
迎風招展	yfvv#序30000
河神	heuf#序30000
和聲	heug#序30000
河山	heuj#序30000
何時	heui#序30000
週五	vzwu#序30000
不能	bun#序30000
大款	dakr#序30000
河水	heuv#序30000
開封	kdfg#序30000
合署	heuu#序30000
龍王	lswh#序30000
笊籬	vcli#序30000
抑強扶弱	yqfr#序30000
說說笑笑	uyxx#序30000
原版	yrbj#序30000
元寶	yrbc#序30000
會心	hvxb#序30000
彗星	hvxk#序30000
病魔纏身	bmiu#序30000
鶴鳴之士	hmvu#序30000
陪客	pwke#序30000
意氣風發	yqff#序30000
肥厚	fwhz#序30000
回鄉	hvxl#序30000
貨艙	hoch#序30000
秦始皇	quhl#序30000
破浪前進	plqj#序30000
人來人往	rlrw#序30000
漫漶	mjhr#序30000
維妙維肖	wmwx#序30000
訪美	fhmw#序30000
任勞任怨	rlry#序30000
蔚成風氣	wifq#序30000
化驗單	hyij#序30000
填空	tmks#序30000
低效	dixn#序30000
黑色素	hssu#序30000
齊心合力	qxhl#序30000
好萊塢	hlw#序30000
黃泉	hlq#序30000
實名	uimk#序30000
催還	cvhr#序30000
別克	bpke#序30000
校徽	xnhv#序30000
雪泥鴻爪	xnhv#序30000
文過飾非	wguf#序30000
偏好	pmhc#序30000
紫紅色	zhse#序30000
閉目塞聽	bmst#序30000
三洋	sjyh#序30000
石磨	uimo#序30000
三月	sjyt#序30000
相形見絀	xxji#序30000
冷空氣	lkq#序30000
世貿	uimc#序30000
邊塞	bmsd#序30000
風吹雨打	fiyd#序30000
甲午戰爭	jwvv#序30000
水印	uvyb#序30000
後撤	hzie#序30000
候車	hzie#序30000
樓閣	lzge#序30000
塑料管	slgr#序30000
資本論	zbly#序30000
佛龕	fokj#序30000
正當防衛	vdfw#序30000
甩賣	ukm#序30000
匈牙利	xyli#序30000
人各有志	rgyv#序30000
入鄉隨俗	rxss#序30000
年復一年	nfyn#序30000
腦瓜	ncgx#序30000
頭角崢嶸	tjvr#序30000
渣滓	vazi#序30000
涼蓆	llxi#序30000
脫僵之馬	tjvm#序30000
抽驗	izyj#序30000
凶殘	xscj#序30000
倫理學	llxt#序30000
固執己見	gvjj#序30000
各執己見	gvjj#序30000
以毒攻毒	ydgd#序30000
涼鞋	llxp#序30000
海產	hdij#序30000
大手筆	dubi#序30000
讀報	dubc#序30000
毒霸	duba#序30000
糧價	lljx#序30000
較重	jnvs#序30000
油墨	yzmo#序30000
早間	zcjm#序30000
右面	yzmm#序30000
狡詐	jnva#序30000
狂風暴雨大雨淋漓	kfbl#序30000
幽門	yzmf#序30000
陸陸續續	llxx#序30000
工業國	gygo#序30000
高壓鍋	gygo#序30000
早就	zcjq#序30000
車次	ieci#序30000
超塵拔俗	iibs#序30000
廣角	gljn#序30000
造句	zcju#序30000
章法	vhfa#序30000
順治	uyvi#序30000
德厚流光	dhlg#序30000
適應症	uyvg#序30000
左傳	zoir#序30000
苣蕒	jumd#序30000
一傅眾咻	yfvx#序30000
作出	zoiu#序30000
賢慧	xmhv#序30000
網戀	whlm#序30000
做出	zoiu#序30000
網羅	whlo#序30000
王力	whli#序30000
做成	zoig#序30000
網路	whlu#序30000
植樹造林	vuzl#序30000
波多黎各	bdlg#序30000
仙鶴	xmhe#序30000
嚎啕大哭	htdk#序30000
現漢	xmhj#序30000
五黃六月	whly#序30000
黨齡	dhlk#序30000
營私舞弊	yswb#序30000
干支	gjvi#序30000
古今中外	gjvw#序30000
趕海	gjhd#序30000
德黑蘭	dhlj#序30000
州立	vzli#序30000
調虎離山	dhlu#序30000
言無不盡	ywbj#序30000
一文不值	ywbv#序30000
我黨	wodh#序30000
擺手	bduz#序30000
白薯	bduu#序30000
白水	bduv#序30000
不得善終	bduv#序30000
不等式	bdui#序30000
多得	dode#序30000
百色	bdud#序30000
滿頭	mjtz#序30000
拳壇	qrtj#序30000
添油加醋	tyjc#序30000
滿天	mjtm#序30000
配製	pwvi#序30000
廣達	glda#序30000
漫談	mjtj#序30000
廣度	gldu#序30000
適可而止	ukev#序30000
碧空萬里	bkwl#序30000
光潔	gljp#序30000
過早	gozc#序30000
烏克蘭	wkl#序30000
無愧於	wky#序30000
成規	iggv#序30000
欠條	qmtn#序30000
最愛面子的人	zamr#序30000
輕量級	qlji#序30000
想像	xlxl#序30000
年後	nmhz#序30000
恩情	enq#序30000
